cocodate;cocoprice;shareprice;;;;;;;;
08.06.16;95.64;4,47;;;;;;;;
09.06.16;95.51;4,44;;;;;;;;
10.06.16;95.21;4,34;;;;;;;;
13.06.16;94.93;4,31;;;;;;;;
14.06.16;93.85;4,25;;;;;;;;
15.06.16;94.27;4,26;;;;;;;;
16.06.16;94.09;4,27;;;;;;;;
17.06.16;94.65;4,31;;;;;;;;
20.06.16;96.75;4,37;;;;;;;;
21.06.16;96.25;4,4;;;;;;;;
22.06.16;96.85;4,44;;;;;;;;
23.06.16;97.16;4,54;;;;;;;;
24.06.16;93.5;4,48;;;;;;;;
27.06.16;92.85;4,38;;;;;;;;
28.06.16;93.32;4,44;;;;;;;;
29.06.16;95.4;4,53;;;;;;;;
30.06.16;95.28;4,66;;;;;;;;
01.07.16;95.95;4,7;;;;;;;;
04.07.16;97.3;4,64;;;;;;;;
05.07.16;96.1;4,65;;;;;;;;
06.07.16;95.23;4,62;;;;;;;;
07.07.16;95.63;4,64;;;;;;;;
08.07.16;95.79;4,71;;;;;;;;
11.07.16;96.94;4,79;;;;;;;;
12.07.16;97.22;4,77;;;;;;;;
13.07.16;97.51;4,75;;;;;;;;
14.07.16;97.74;4,77;;;;;;;;
15.07.16;98.13;4,79;;;;;;;;
18.07.16;98.14;4,85;;;;;;;;
19.07.16;97.86;4,87;;;;;;;;
20.07.16;98.09;4,95;;;;;;;;
21.07.16;98.52;4,93;;;;;;;;
22.07.16;99.02;4,94;;;;;;;;
25.07.16;98.92;4,9;;;;;;;;
26.07.16;98.58;4,94;;;;;;;;
27.07.16;98.98;4,98;;;;;;;;
28.07.16;98.97;4,91;;;;;;;;
29.07.16;99.36;4,95;;;;;;;;
01.08.16;99.51;4,89;;;;;;;;
02.08.16;98.28;4,83;;;;;;;;
03.08.16;98.62;5,04;;;;;;;;
04.08.16;99.3;5,17;;;;;;;;
05.08.16;99.8;5,3;;;;;;;;
08.08.16;99.91;5,37;;;;;;;;
09.08.16;100.05;5,41;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
