date;shareprice
2013-05-21;639.665
2013-05-20;643.51

2013-05-17;634.065
2013-05-16;626.041
2013-05-15;630.554
2013-05-14;623.868
2013-05-13;618.184

2013-05-10;622.53
2013-05-09;610.578
2013-05-08;613.921
2013-05-07;614.339

2013-05-03;596.703
2013-05-02;594.363
2013-05-01;591.354
2013-04-30;588.01
2013-04-29;588.094

2013-04-26;585.001
2013-04-25;577.144
2013-04-24;580.906
2013-04-23;575.305
2013-04-22;567.699

2013-04-19;567.699
2013-04-18;554.41
2013-04-17;560.846
2013-04-16;566.362
2013-04-15;569.538

2013-04-12;575.138
2013-04-11;578.398
2013-04-10;577.562
2013-04-09;571.628
2013-04-08;568.117

2013-04-05;569.622
2013-04-04;580.07
2013-04-03;586.339
2013-04-02;594.446

2013-03-28;587.174
2013-03-27;583.079
2013-03-26;583.831
2013-03-25;580.906

2013-03-22;584.918
2013-03-21;588.261
2013-03-20;595.115
2013-03-19;588.832
2013-03-18;591.956

2013-03-15;591.873
2013-03-14;608.23
2013-03-13;597.216
2013-03-12;599.517
2013-03-11;603.874

2013-03-08;605.764
2013-03-07;590.312
2013-03-06;586.531
2013-03-05;587.106
2013-03-04;583.572

2013-03-01;598.449
2013-02-28;601.161
2013-02-27;595.901
2013-02-26;586.038
2013-02-25;599.928

2013-02-22;592.942
2013-02-21;588.832
2013-02-20;602.394
2013-02-19;599.024
2013-02-18;596.723

2013-02-15;597.052
2013-02-14;595.243
2013-02-13;600.75
2013-02-12;599.106
2013-02-11;590.394

2013-02-08;589.079
2013-02-07;575.681
2013-02-06;586.12
2013-02-05;583.079
2013-02-04;580.366

2013-02-01;591.462
2013-01-31;589.079
2013-01-30;595.161
2013-01-29;591.873
2013-01-28;589.408

2013-01-25;583.818
2013-01-24;579.38
2013-01-23;571.325
2013-01-22;569.599
2013-01-21;571.654

2013-01-18;570.339
2013-01-17;568.037
2013-01-16;561.708
2013-01-15;558.585
2013-01-14;555.462

2013-01-11;557.023
2013-01-10;553.489
2013-01-09;550.612
2013-01-08;541.818
2013-01-07;547.571

2013-01-04;548.722
2013-01-03;544.53
2013-01-02;547.16
2012-12-31;531.708

2012-12-28;535.324
2012-12-27;535.90
2012-12-24;538.283

2012-12-21;534.009
2012-12-20;534.256
2012-12-19;536.722
2012-12-18;526.201
2012-12-17;527.269

2012-12-14;527.352
2012-12-13;528.831
2012-12-12;529.16
2012-12-11;529.982
2012-12-10;527.023

2012-12-07;528.995
2012-12-06;529.16
2012-12-05;529.406
2012-12-04;522.913
2012-12-03;522.667

2012-11-30;524.146
2012-11-29;519.132
2012-11-28;511.899
2012-11-27;510.338
2012-11-26;509.598

2012-11-23;514.447
2012-11-22;511.242
2012-11-21;507.954
2012-11-20;505.077
2012-11-19;508.201

2012-11-16;489.707
2012-11-15;494.228
2012-11-14;495.625
2012-11-13;500.228
2012-11-12;496.283

2012-11-09;493.899
2012-11-08;495.543
2012-11-07;499.57
2012-11-06;510.995
2012-11-05;507.954

2012-11-02;514.612
2012-11-01;513.708
2012-10-31;500.392
2012-10-30;502.694
2012-10-29;502.118

2012-10-26;501.707
2012-10-25;504.666
2012-10-24;501.379
2012-10-23;499.122
2012-10-22;503.275

2012-10-19;501.076
2012-10-18;502.379
2012-10-17;498.959
2012-10-16;497.574
2012-10-15;488.861

2012-10-12;484.789
2012-10-11;486.336
2012-10-10;480.147
2012-10-09;481.287
2012-10-08;485.196

2012-10-05;488.454
2012-10-04;482.753
2012-10-03;478.60
2012-10-02;472.736
2012-10-01;478.437

2012-09-28;466.873
2012-09-27;471.922
2012-09-26;467.199
2012-09-25;475.424
2012-09-24;476.401

2012-09-21;475.75
2012-09-20;478.03
2012-09-19;478.681
