test date coco ed cd sa
105 2016-01-22 67.85988416719 40.2032730912397 NA 64.8919567651912
106 2016-01-21 67.916519278387 37.4200109373078 NA 62.0395701338463
107 2016-01-20 68.3772733681094 35.5678353871957 NA 68.7542851349271
108 2016-01-19 68.5803167420814 43.129638825887 NA 62.9277311966674
109 2016-01-15 68.6726777102118 42.1926554954324 NA 64.3517549813428
110 2016-01-14 68.6097408462447 47.2339536718823 NA 69.0013598251109
111 2016-01-13 68.6933037878263 48.0677895506784 NA 67.3224072400683
112 2016-01-12 68.9997215648058 48.1566010352105 NA 70.3909496650022
113 2016-01-11 68.8183882733466 45.9660669629896 NA 66.0727468009457
114 2016-01-08 68.7757909215956 46.3607425583376 NA 65.4968731750175
115 2016-01-07 68.4813950295208 47.2339536718823 NA 65.8657887380124
116 2016-01-06 68.4815499418087 49.0973044447978 NA 66.9667082373779
117 2016-01-05 68.4863794633713 53.1627433168494 NA 65.70888124998
118 2016-01-04 68.4185444890735 52.5515636196843 NA 68.1361705175467
119 2015-12-30 66.4319404769813 57.2507681929147 NA 66.9566505994367
120 2015-12-29 66.5847339400784 59.007016998487 NA 71.3092832911103
121 2015-12-23 67.5911778383047 58.0569057787559 NA 69.4729565573559
122 2015-12-22 66.3987245067428 55.0738423519039 NA 66.8981006145328
123 2015-12-18 66.2824686109081 54.9660314919016 NA 67.8044883056172
124 2015-12-17 67.3287716734206 55.6377272075609 NA 68.1130079527178
125 2015-12-16 66.0665648043579 52.6629849552429 NA 65.0078843488273
126 2015-12-15 66.0997807745964 50.0551923317108 NA 63.7366384355741
127 2015-12-14 66.2658606257889 44.846938193379 NA 64.1833870684086
128 2015-12-11 66.5149804025775 46.0270408931634 NA 66.4835991216142
129 2015-12-10 66.3655085365044 49.8242230106651 NA 65.5981632128269
130 2015-12-09 66.5315883876968 50.0551923317108 NA 66.9800612685468
131 2015-12-08 66.8305321198432 50.0551923317108 NA 67.7193996239229
132 2015-12-07 66.805287982462 52.8853241192683 NA 63.0142684522831
133 2015-12-03 66.6392081312695 54.4242824916703 NA 66.4614108219084
134 2015-12-02 66.7641001793662 57.9532056792038 NA 72.1404823576299
135 2015-12-01 66.68106025377 57.5639372859349 NA 67.8432052140864
136 2015-11-30 66.68106025377 55.0469753465421 NA 67.8617067674113
137 2015-11-25 66.3658083355455 56.2236953187608 NA 65.5086927771938
138 2015-11-24 66.6932112283496 55.2085929471007 NA 69.2513535997799
139 2015-11-20 65.9624104619833 55.477064406366 NA 66.5567799401081
140 2015-11-19 65.6260215756783 53.8508815284167 NA 65.1831444470308
141 2015-11-18 65.9884294260732 52.6629849552429 NA 64.4287200601572
142 2015-11-17 65.723204310968 52.215993983234 NA 66.3609233946965
143 2015-11-16 65.7981313330701 49.9685862922545 NA 66.8271854896829
144 2015-11-13 65.7344037904712 50.5153095662395 NA 62.4365607594965
145 2015-11-12 66.045807555614 52.7187786143367 NA 65.386632279729
146 2015-11-10 66.3600264725347 53.3835806724341 NA 64.010706693948
147 2015-11-09 66.6865236960551 54.5328981208651 NA 70.6295766372109
148 2015-11-06 66.9065463951714 54.5872876420996 NA 67.1941937689724
149 2015-11-05 66.1377049180328 51.5687358036097 NA 63.8785390652237
150 2015-11-04 65.5713728549142 52.1880590435126 NA 67.3138751734334
151 2015-11-03 65.3451522826158 48.09730138027 NA 62.3996979755088
152 2015-11-02 65.2223230490018 47.6818412903314 NA 63.8771048945436
153 2015-10-30 66.1847230474682 48.8925795810824 NA 64.3068364970676
154 2015-10-29 66.1847230474682 50.4006201649367 NA 66.37937809331
155 2015-10-28 66.1913250148544 51.1150815001411 NA 68.7611250285843
156 2015-10-27 66.0856935366739 50.0264356700748 NA 64.703800324416
157 2015-10-26 65.9371492704826 50.4867289100584 NA 65.1770208306519
158 2015-10-23 65.8546246781541 51.878896075938 NA 65.4176833947676
159 2015-10-22 65.316168218129 48.3044931110169 NA 61.7026901822326
160 2015-10-21 65.194427939526 48.5176075551503 NA 64.9500130234654
161 2015-10-20 65.1119033471975 49.3271495168861 NA 66.8421625312347
162 2015-10-19 65.0458836733347 49.8145079611212 NA 64.5676150684082
163 2015-10-16 65.6895754934971 50.8643145462218 NA 66.5921913411356
164 2015-10-15 64.6992803855549 50.2987274899578 NA 69.3358393693041
165 2015-10-14 64.4517066085694 49.3271495168861 NA 67.4033942725678
166 2015-10-13 65.029378754869 50.7234682547411 NA 66.5413728306901
167 2015-10-09 64.8148148148148 53.9546098807313 NA 67.7503746825366
168 2015-10-08 64.3526770977751 53.2213501539099 NA 68.8368603995119
169 2015-10-07 64.4517066085694 53.0029332438002 NA 64.6528791874404
170 2015-10-06 63.7089852776127 50.9770995663857 NA 65.9828004560133
171 2015-10-05 63.7089852776127 50.94899404721 NA 66.3111595487709
172 2015-10-02 63.2138377236416 47.0206774113437 NA 67.4970311335492
173 2015-10-01 63.3788869082987 45.61460812213 NA 70.0211388511232
174 2015-09-30 63.4614115006272 44.3052402211044 NA 68.937266543319
175 2015-09-29 62.962412471925 40.1599540772973 NA 62.5187456208494
176 2015-09-28 64.6457990115321 41.2528887448114 NA 64.3176448256963
177 2015-09-25 64.172268353763 45.7953389169488 NA 64.6748545464801
178 2015-09-24 63.7922009945041 40.981059479336 NA 62.3688764019786
179 2015-09-23 65.3530377668309 44.3205740558253 NA 69.4158476367882
180 2015-09-22 65.106882168926 40.7564394888722 NA 64.1283438126069
181 2015-09-21 64.5505037458021 43.1918853601552 NA 68.2570989250599
182 2015-09-18 64.1642605068977 41.7934305731056 NA 64.7226002020156
183 2015-09-17 65.0773195876289 45.463353854989 NA 64.5670720823177
184 2015-09-16 64.2079144109307 48.6049689940256 NA 63.2464245056466
185 2015-09-15 64.8726964901999 47.3460153298476 NA 66.4945100794057
186 2015-09-14 64.899499447442 44.9473187184331 NA 67.0409051500568
187 2015-09-11 64.7643163225555 46.0059768244258 NA 64.1334890142985
188 2015-09-10 64.650981917169 46.2758623816901 NA 63.0677670932961
189 2015-09-09 64.9889380530973 50.2703658329861 NA 62.8330177559717
190 2015-09-08 64.8642489745426 45.9759665367046 NA 67.8521499538972
191 2015-09-04 65.5726901278503 42.6918591126222 NA 64.6609026032894
192 2015-09-03 65.4058313632782 46.7236819587415 NA 69.8186604194252
193 2015-09-01 64.9265905383361 44.3971979502032 NA 68.5014046189636
194 2015-08-31 65.0481959098606 44.3971979502032 NA 67.019557337911
195 2015-08-28 64.9016542920412 50.2136103084623 NA 68.3973255127241
196 2015-08-27 64.8864892994211 50.4972598952259 NA 67.8779424810628
197 2015-08-26 63.5415996396628 43.5336896374398 NA 65.7195673409699
198 2015-08-25 63.7064407211569 46.8424920389834 NA 66.3756578086349
199 2015-08-24 62.2696657771 40.8686583678094 NA 65.3710217294635
200 2015-08-21 63.5768985322272 50.920578775357 NA 68.1621479170379
201 2015-08-20 63.6851177935261 54.7610049406962 NA 66.577057589297
202 2015-08-19 64.3309251326641 56.1900131095699 NA 68.3034455894146
