test date coco ed cd
246 2015-06-17 64.2902609802673 88.151245258667 84.0206773058954
247 2015-06-16 64.47814679721 89.2091578332484 84.0305344086873
248 2015-06-15 65.3069103075537 90.5085943073678 84.0393217440858
249 2015-06-12 65.4387204522097 92.4353763350868 84.0475868159366
250 2015-06-11 65.8361840831343 93.322169342369 84.0500554139165
251 2015-06-10 65.3432855028634 93.8355650851101 84.051202816623
252 2015-06-09 66.5926748057714 93.9086310391038 84.0513515234356
253 2015-06-08 67.107502946183 95.3104414959288 84.0536207867128
254 2015-06-05 66.9247424709665 95.1662609968104 84.0534323123761
255 2015-06-04 66.7914090465343 95.1422513661641 84.0534000450425
256 2015-06-03 67.0223077424826 96.6903919349314 84.0550300822235
257 2015-06-02 67.1929023419662 96.4777318751621 84.0548535689016
258 2015-05-29 67.1525247267048 96.07439899671 84.0544813180562
259 2015-05-28 67.0223841749089 96.2880199143524 84.054684848304
260 2015-05-27 67.2175950026028 96.6903919349314 84.0550300822235
261 2015-05-26 67.3477355543988 94.7089742151995 84.0527717971486
262 2015-05-22 67.1525247267048 95.5736998401882 84.0539424893076
263 2015-05-21 67.2663977095263 94.1031834215164 84.0517310359353
264 2015-05-20 67.3477355543988 94.5804523881781 84.0525676926636
265 2015-05-19 67.8357626236335 93.084712678945 84.0494590816627
266 2015-05-18 67.1648880791254 93.5458596264917 84.050578177039
267 2015-05-15 67.1850598646538 93.1333103833576 84.0495847317866
268 2015-05-14 67.1037220197814 93.3034594131797 84.0500100094638
269 2015-05-13 68.1611140031234 92.425530031947 84.0475554703276
270 2015-05-12 66.9898490369599 93.8840204754026 84.0513018196849
271 2015-05-11 67.4290733992712 96.8017283817754 84.0551174554099
272 2015-05-08 67.1037220197814 98.8321889647148 84.0562331086267
273 2015-05-07 66.859708485164 96.4744249155786 84.0548507207946
274 2015-05-06 67.1850598646538 96.8250432653771 84.0551353294689
275 2015-05-05 67.8357626236335 95.2954925899759 84.053601660701
276 2015-05-04 67.2696512233212 95.2954925899759 84.053601660701
277 2015-04-30 67.3477355543988 100.41474306979 84.0566788860527
278 2015-04-29 67.2964928173936 99.8980224640656 84.0565613522609
279 2015-04-28 67.8673975463326 100.257872759306 84.0566456211814
280 2015-04-27 68.1250410886858 100.683262395718 84.0567313711982
281 2015-04-24 68.4141114408177 96.1928851115993 84.0545960323024
282 2015-04-23 68.6694566228245 91.9834687943381 84.0460477059938
283 2015-04-22 69.6362064378824 90.8185059852765 84.0409834888163
284 2015-04-21 69.1421683519721 92.2291778135886 84.0469104750758
285 2015-04-20 69.2926583975863 92.2537119206765 84.046993174061
286 2015-04-17 68.8456653966981 88.9279917149565 84.0281817153977
287 2015-04-16 69.4341902141083 90.6435988172316 84.0400638039441
288 2015-04-15 70.0934579439252 93.3277025191191 84.0500687908984
289 2015-04-14 70.2332657200811 92.9874384433616 84.0492018281339
290 2015-04-13 70.9431771615899 93.4003926408901 84.0502423967517
291 2015-04-10 70.8995972971128 91.9588610253981 84.0459577471656
292 2015-04-09 70.5706724570808 89.9411170040119 84.0358722482666
293 2015-04-08 70.1889573840793 85.5548484837601 83.981308973526
294 2015-04-07 69.6125907990315 85.5284366799119 83.9807645407352
295 2015-04-06 69.5474777448071 85.5284366799119 83.9807645407352
296 2015-04-02 69.5474777448071 84.3043243638393 83.9514123803724
297 2015-04-01 69.5936825053996 83.3075679980193 83.9206024590516
298 2015-03-31 66.5005501262054 82.0530554792165 83.8708815663488
299 2015-03-30 67.4713610769529 84.5716386612 83.9585562970284
